"","stabr","fscskey","libid","libname","address","city","cnty","zip","zip4","addres_m2000","city_m2000","zip_m2000","zip4_m2000","phone2000","c_relatn","c_legbas","c_admin","c_fscs","geocode2000","popu_lsa2000","popu_und2000","centlib2000","branlib2000","bkmob2000","master2000","libraria2000","othpaid2000","totstaff2000","locgvt2000","stgvt2000","fedgvt2000","othincm2000","totincm2000","salaries2000","benefit2000","staffexp2000","totexpco2000","othopexp2000","totopexp2000","capital2000","bkvol2000","audio2000","video2000","subscrip2000","hrs_open2000","visits2000","referenc2000","totcir2000","loanto2000","loanfm2000","kidcircl2000","kidatten2000","elmatexp2000","elaccexp2000","elmats2000","elsvcacc2000","inetacc2000","inetuse2000","stfterms2000","gpterms2000","eres_usr2000","pub_fips2000","cntyfips2000","yr_sub2000","obereg2000","rstatus2000"
"1","AK","AK0001","AK0001-002","ANCHOR POINT PUBLIC LIBRARY","73405 MILO FITZ AVENUE","ANCHOR POINT","KENAI PENINSULA","99556","0129","P.O. BOX 129","ANCHOR POINT","99556","0129","9072355692","NO","NP","SO","Y","CI2",2176,2176,1,0,0,0,0.25,0,0.25,0,6300,0,5667,11967,NA,NA,NA,3075,NA,11967,0,12045,45,225,7,520,1820,150,4398,0,2,1596,337,100,198,3,"Y","Y","PE",1,2,25,"02","122",2001,"08",2
"2","AK","AK0002","AK0002-011","ANCHORAGE MUNICIPAL LIBRARIES","3600 DENALI STREET","ANCHORAGE","ANCHORAGE","99503","6093","3600 DENALI STREET","ANCHORAGE","99503","6093","9073432975","NO","CO","MO","Y","MA1",260283,260283,1,5,0,42.81,42.81,71.23,114.04,8343325,58110,285076,615571,9302082,3930926,1331348,5262274,1144270,2904000,9310544,0,585000,25500,13000,1865,11544,791657,170950,1228366,6878,3850,470562,24043,126358,120000,285,"Y","Y","PE",70,125,8880,"02","020",2001,"08",1
"3","AK","AK0003","AK0003-002","ANDERSON VILLAGE LIBRARY","M","ANDERSON","DENALI","99744","3078","P.O. BOX 3078","ANDERSON","99744","3078","9075822628","NO","CI","SO","Y","CI1",367,367,1,0,0,0,0.25,0,0.25,3000,6300,0,4000,13300,NA,NA,NA,3024,NA,13300,0,13725,460,1155,16,520,3125,731,2479,1,19,1376,215,50,337,195,"Y","Y","PE",2,5,36,"02","068",2001,"08",2
"4","AK","AK0006","AK0006-002","KUSKOKWIM CONSORTIUM LIBRARY","420 STATE HIGHWAY","BETHEL","BETHEL","99559","1068","P.O. BOX 1068","BETHEL","99559","1068","9075434516","NO","MJ","SO","Y","CI1",5471,5471,1,0,0,1,3,0.25,3.25,65000,6300,0,134158,205458,125207,40190,165397,21571,16875,203843,0,36329,2444,1153,90,2860,18080,3536,19330,127,181,4796,3143,897,5449,40,"Y","Y","PE",3,8,140,"02","050",2001,"08",2
"5","AK","AK0007","AK0007-002","BIG LAKE PUBLIC LIBRARY","MILE 4 SOUTH BIG LAKE ROAD","BIG LAKE","MATANUSKA-SUSITNA","99652","0829","P.O. BOX 520829","BIG LAKE","99652","0829","9078926475","NO","CO","SO","Y","CI2",5572,5572,1,0,0,0,1,0.5,1.5,111278,6300,9253,0,126831,NA,NA,NA,15934,NA,117578,0,13388,560,565,46,2132,20381,1275,20252,8,30,9721,1272,0,6062,0,"Y","Y","PE",2,4,30,"02","170",2001,"08",1
"6","AK","AK0008","AK0008-002","CANTWELL COMMUNITY LIBRARY","MILE 133.5 DENALI HIGHWAY","CANTWELL","DENALI","99729","0068","P.O. BOX 68","CANTWELL","99729","0068","9077682372","NO","NP","SO","Y","CI2",222,222,1,0,0,0,0.38,0.38,0.76,955,6300,4000,525,11780,NA,NA,NA,5335,NA,11780,0,9665,104,174,16,720,2500,150,3545,25,35,2025,130,0,337,0,"Y","Y","PE",3,12,45,"02","068",2001,"08",2
"7","AK","AK0011","AK0011-002","CHINIAK PUBLIC LIBRARY","42650 CHINIAK HIGHWAY","CHINIAK","KODIAK ISLAND","99615","5610","P.O. BOX 5610","CHINIAK","99615","5610","9074863022","NO","NP","SO","N","CI2",50,50,1,0,0,0,0,0,0,3000,7300,0,0,10300,NA,NA,NA,2477,NA,10481,0,7988,60,638,20,936,2573,150,4900,0,6,2395,839,422,323,25,"Y","Y","PE",1,3,7,"02","150",2001,"08",1
"8","AK","AK0014","AK0014-002","COLD BAY PUBLIC LIBRARY","CITY BUILDING","COLD BAY","ALEUTIANS EAST","99571","0087","P.O. BOX 87","COLD BAY","99571","0087","9075322878","NO","NP","SO","N","CI1",88,88,1,0,0,0,0,0,0,2000,6300,0,0,8300,NA,NA,NA,3407,NA,5793,0,8798,508,2040,8,728,2050,48,3593,0,0,286,34,200,0,32,"N","N",NA,0,0,0,"02","013",2001,"08",1
"9","AK","AK0015","AK0015-002","COOPER LANDING COMMUNITY LIBRARY","BEAN CREEK ROAD","COOPER LANDING","KENAI PENINSULA","99572","M","P.O. BOX 517","COOPER LANDING","99572","0517","9075951241","NO","NP","SO","N","CI2",649,649,1,0,0,0,0,0,0,0,6300,0,9095,15395,NA,NA,NA,5270,NA,10850,0,3664,485,531,1,1144,3502,624,3757,0,28,532,0,0,1710,1,"Y","Y","PE",1,2,46,"02","122",2001,"08",1
"10","AK","AK0016","AK0016-002","CORDOVA PUBLIC LIBRARY","622 FIRST STREET","CORDOVA","VALDEZ-CORDOVA","99574","1210","P.O. BOX 1210","CORDOVA","99574","1210","9074246667","NO","CI","SO","Y","CI1",2454,2454,1,0,0,0,1,1.75,2.75,129284,6300,0,0,135584,82420,31889,114309,11600,10375,136284,0,22195,1086,1154,50,1820,18452,1300,22191,0,371,6163,4284,0,1200,0,"Y","Y","PE",3,7,203,"02","261",2001,"08",2
