"","stabr","fscskey","libid","libname","address","city","zip","zip4","addres_m2002","city_m2002","zip_m2002","zip4_m2002","cnty","phone2002","web_addr2002","c_relatn","c_legbas","c_admin","c_fscs","geocode2002","popu_lsa2002","popu_und2002","centlib2002","branlib2002","bkmob2002","master2002","libraria2002","othpaid2002","totstaff2002","locgvt2002","stgvt2002","fedgvt2002","othincm2002","totincm2002","salaries2002","benefit2002","staffexp2002","totexpco2002","othopexp2002","totopexp2002","capital2002","bkvol2002","audio2002","video2002","subscrip2002","hrs_open2002","visits2002","referenc2002","totcir2002","loanto2002","loanfm2002","kidcircl2002","kidatten2002","elmatexp2002","elaccexp2002","elmats2002","elsvcacc2002","inetacc2002","stfterms2002","gpterms2002","eres_usr2002","pub_fips2002","cntyfips2002","yr_sub2002","obereg2002","rstatus2002"
"1","AK","AK0001","AK0001-002","ANCHOR POINT PUBLIC LIBRARY","73405 MILO FRITZ AVENUE","ANCHOR POINT","99556","0129","P.O. BOX 129","ANCHOR POINT","99556","0129","KENAI PENINSULA","9072355692","M","NO","NP","SO","Y","CI1",1842,1842,1,0,0,0,0.38,0,0.38,0,6400,0,5932,12332,NA,NA,NA,3763,NA,12332,0,12201,170,290,12,780,6360,250,10243,2,4,3998,335,100,1200,20,"Y","Y",0,3,50,"02","122",2003,"08",2
"2","AK","AK0002","AK0002-011","ANCHORAGE MUNICIPAL LIBRARIES","3600 DENALI STREET","ANCHORAGE","99503","6093","3600 DENALI STREET","ANCHORAGE","99503","6093","ANCHORAGE","9073432983","lexicon.ci.anchorage.ak.us/html/welcome.shtml","NO","CO","MO","Y","MA1",269070,269070,1,5,0,37.45,38.45,68.15,106.6,8083056,142198,68794,521226,8815274,3444449,1393736,4838185,1089470,2887617,8815272,0,600778,24989,20197,1645,11440,848980,145628,1274160,7837,4477,464756,16000,125421,36000,1896,"Y","Y",95,83,3320,"02","020",2003,"08",1
"3","AK","AK0003","AK0003-002","ANDERSON VILLAGE LIBRARY","FIRST STREET","ANDERSON","99744","3078","P.O. BOX 3078","ANDERSON","99744","0100","DENALI","9075822628","M","NO","CI","SO","Y","CI1",359,359,1,0,0,0,0.25,0,0.25,4000,6400,0,3000,13400,NA,NA,NA,4493,NA,13400,0,14926,460,1325,15,520,2563,427,2741,0,16,731,255,125,630,60,"Y","Y",1,3,15,"02","068",2003,"08",2
"4","AK","AK0006","AK0006-002","KUSKOKWIM CONSORTIUM LIBRARY","420 STATE HIGHWAY","BETHEL","99559","1068","P.O. BOX 1068","BETHEL","99559","1068","BETHEL","9075434516","M","NO","MJ","SO","Y","CI1",5736,5736,1,0,0,1,3,0.25,3.25,65000,6400,0,130083,201483,131863,41887,173750,16771,10962,201483,0,37863,2445,1294,87,2860,20470,1500,14176,211,196,3808,3204,344,1795,74,"Y","Y",4,2,110,"02","050",2003,"08",2
"5","AK","AK0007","AK0007-002","BIG LAKE PUBLIC LIBRARY","3140 SOUTH BIG LAKE ROAD","BIG LAKE","99652","0829","P.O. BOX 520829","BIG LAKE","99652","0829","MATANUSKA-SUSITNA","9078926475","www.matsulibraries.com/biglake/","NO","CO","SO","Y","CO1",5995,5995,1,0,0,0,1,1.35,2.35,136495,6400,0,0,142895,88044,18415,106459,14871,21565,142895,1392765,14866,791,627,49,2132,23939,1350,24485,6,74,10956,1163,0,1861,0,"Y","Y",4,5,50,"02","170",2003,"08",1
"6","AK","AK0008","AK0008-002","CANTWELL COMMUNITY LIBRARY","MILE 133.5 DENALI HIGHWAY","CANTWELL","99729","0068","P.O. BOX 68","CANTWELL","99729","0068","DENALI","9077682372","M","NO","NP","SO","Y","CI1",225,225,1,0,0,0,0.38,0,0.38,2760,6400,4000,385,13545,NA,NA,NA,6125,NA,13525,0,9896,192,183,8,720,2100,100,3540,5,10,2050,280,0,600,0,"Y","Y",1,10,20,"02","068",2003,"08",1
"7","AK","AK0011","AK0011-002","CHINIAK PUBLIC LIBRARY","42650 CHINIAK HIGHWAY","CHINIAK","99615","5610","P.O. BOX 5610","CHINIAK","99615","5610","KODIAK ISLAND","9074863022","M","NO","NP","SO","N","CI1",56,56,1,0,0,0,0,0,0,3000,6400,0,186,9586,NA,NA,NA,6458,NA,9402,0,8064,261,711,11,480,2000,202,3159,0,0,1339,401,100,690,32,"Y","Y",1,1,10,"02","150",2003,"08",1
"8","AK","AK0014","AK0014-002","COLD BAY PUBLIC LIBRARY","CITY BUILDING","COLD BAY","99571","0087","P.O. BOX 87","COLD BAY","99571","0087","ALEUTIANS EAST","9075322401","M","NO","NP","SO","N","CI1",116,116,1,0,0,0,0,0,0,2000,6400,0,30,8430,NA,NA,NA,3766,NA,8662,0,9047,540,2285,9,624,1266,50,2763,0,0,370,250,0,0,26,"Y","N",0,0,6,"02","013",2003,"08",1
"9","AK","AK0015","AK0015-002","COOPER LANDING COMMUNITY LIBRARY","BEAN CREEK ROAD","COOPER LANDING","99572","0517","P.O. BOX 517","COOPER LANDING","99572","0517","KENAI PENINSULA","9075951241","www.arctic.net/~alibrary/","NO","NP","SO","N","CI1",375,375,1,0,0,0,0,0,0,0,6400,0,18190,24590,NA,NA,NA,5156,NA,11465,2000,3388,609,624,20,1144,4400,500,4463,0,61,862,116,140,630,7,"Y","Y",0,2,30,"02","122",2003,"08",1
"10","AK","AK0016","AK0016-002","CORDOVA PUBLIC LIBRARY","622 FIRST STREET","CORDOVA","99574","1210","P.O. BOX 1210","CORDOVA","99574","1210","VALDEZ-CORDOVA","9074246667","www.cityofcordova.net/","NO","CI","SO","Y","CI1",2434,2434,1,0,0,0,2.25,1,3.25,183240,6400,0,0,189640,128224,31139,159363,11466,20822,191651,0,21625,736,1297,53,1664,21687,728,20355,0,212,4310,4231,200,3964,21,"Y","Y",5,4,127,"02","261",2003,"08",2
"11","AK","AK0017","AK0017-003","CRAIG PUBLIC LIBRARY","504 THIRD STREET","CRAIG","99921","0769","P.O. BOX 769","CRAIG","99921","0769","PR WALES-OUTER KE","9078263281","M","NO","CI","SO","Y","CI1",1562,1562,1,0,0,0,0.9,1.8,2.7,63038,6400,0,0,69438,31215,4861,36076,15712,13446,65234,5459,8779,391,889,63,1872,12071,650,14842,0,205,6166,108,500,1400,55,"Y","Y",1,3,88,"02","201",2003,"08",1
"12","AK","AK0018","AK0018-002","IPNATCHIAQ LIBRARY","59 MAIN STREET","DEERING","99736","0070","P.O. BOX 70","DEERING","99736","0070","NORTHWEST ARCTIC","9073632136","M","NO","CI","SO","Y","CI1",129,129,1,0,0,0,0.46,0,0.46,4000,6400,4000,0,14400,NA,NA,NA,3903,NA,14401,0,7150,365,196,20,768,1360,60,237,0,0,131,204,0,0,16,"Y","N",0,0,5,"02","188",2003,"08",1
